g,h,Value
block100,C42,4022
block100,C43,7996
block100,C44,10566
block100,C45,7934
block100,C46,3055
block100,C47,2871
block100,C48,121
block100,C49,7732
block100,C5,6401
block100,C50,3279
block100,C51,6111
block100,C52,3172
block100,C53,4681
block100,C54,4455
block100,C6,7414
block100,C7,4408
block100,C8,2701
block100,C9,12473
block101,block1,13921
block101,block10,10928
block101,block100,592
block101,block101,0
block101,block102,1228
block101,block103,2872
block101,block104,2462
block101,block105,4018
block101,block106,3096
block101,block107,4851
block101,block108,3932
block101,block109,3629
block101,block11,10511
block101,block110,7327
block101,block111,6654
block101,block112,11060
block101,block113,6884
block101,block114,8433
block101,block115,8027
block101,block116,7134
block101,block117,5711
block101,block118,4423
block101,block119,7735
block101,block12,9971
block101,block120,3500
block101,block121,3114
block101,block122,4155
block101,block123,4306
block101,block124,4798
block101,block125,5136
block101,block126,12047
block101,block127,8143
block101,block128,7467
block101,block129,5590
block101,block13,9553
block101,block130,4874
block101,block131,5334
block101,block132,5846
block101,block133,6585
block101,block134,5325
block101,block135,9740
block101,block14,12066
block101,block15,11782
block101,block16,11039
block101,block17,10540
block101,block18,10257
block101,block19,9736
block101,block2,13251
block101,block20,9322
block101,block21,11471
block101,block22,10859
block101,block23,8219
block101,block24,9165
block101,block25,8623
block101,block26,7684
block101,block27,9429
block101,block28,8384
block101,block29,8250
block101,block3,12938
block101,block30,7753
block101,block31,7733
block101,block32,7092
block101,block33,7355
block101,block34,6765
block101,block35,6410
block101,block36,6040
block101,block37,6564
block101,block38,6934
block101,block39,6179
block101,block4,12148
block101,block40,5797
block101,block41,6325
block101,block42,8024
block101,block43,7352
block101,block44,6830
block101,block45,7941
block101,block46,7265
block101,block47,7363
block101,block48,6292
block101,block49,5861
block101,block5,11356
block101,block50,5371
block101,block51,4865
block101,block52,5723
block101,block53,5027
block101,block54,5430
block101,block55,7239
block101,block56,6354
block101,block57,6221
block101,block58,7019
block101,block59,6650
block101,block6,12431
block101,block60,10500
block101,block61,8843
block101,block62,8847
block101,block63,8645
block101,block64,7569
block101,block65,6538
block101,block66,6467
block101,block67,8578
block101,block68,7373
block101,block69,5719
block101,block7,11675
block101,block70,5599
block101,block71,5218
block101,block72,4725
block101,block73,4943
block101,block74,3938
block101,block75,4849
block101,block76,4199
block101,block77,5234
block101,block78,5368
block101,block79,5969
block101,block8,11829
block101,block80,4122
block101,block81,4511
block101,block82,3916
block101,block83,3626
block101,block84,3294
block101,block85,4749
block101,block86,5443
block101,block87,4595
block101,block88,4441
block101,block89,3137
block101,block9,11291
block101,block90,4520
block101,block91,3869
block101,block92,3155
block101,block93,1966
block101,block94,2959
block101,block95,2459
block101,block96,2871
block101,block97,2177
block101,block98,2061
block101,block99,1706
block101,C1,8620
block101,C10,3973
block101,C11,5655
block101,C12,12526
block101,C13,7010
block101,C14,5515
block101,C15,4443
block101,C16,5482
block101,C17,6787
block101,C18,3173
block101,C19,6949
block101,C2,3415
block101,C20,12909
block101,C21,7208
block101,C22,11236
block101,C23,6298
block101,C24,2440
block101,C25,4875
block101,C26,3621
block101,C27,6577
block101,C28,3489
block101,C29,11653
block101,C3,10172
block101,C30,6057
block101,C31,9713
block101,C32,9228
block101,C33,7613
block101,C34,10534
block101,C35,13882
block101,C36,6607
block101,C37,5216
block101,C38,2792
block101,C39,2067
block101,C4,3177
block101,C40,3315
block101,C41,8405
block101,C42,4316
block101,C43,8290
block101,C44,9479
block101,C45,6962
block101,C46,3460
block101,C47,3276
block101,C48,471
block101,C49,6790
block101,C5,6695
block101,C50,3573
block101,C51,6405
block101,C52,3466
block101,C53,4975
block101,C54,4063
block101,C6,7708
block101,C7,4702
block101,C8,2995
block101,C9,12767
block102,block1,13623
block102,block10,12011
block102,block100,632
block102,block101,1228
block102,block102,0
block102,block103,3516
block102,block104,3106
block102,block105,4662
block102,block106,3741
block102,block107,3897
block102,block108,4576
block102,block109,4274
block102,block11,11595
block102,block110,6552
block102,block111,5879
block102,block112,7839
block102,block113,6109
block102,block114,6318
block102,block115,5911
block102,block116,5019
block102,block117,4936
block102,block118,3648
block102,block119,5620
block102,block12,11055
block102,block120,2546
block102,block121,2160
block102,block122,3201
block102,block123,3352
block102,block124,3844
block102,block125,4182
block102,block126,9341
block102,block127,7563
block102,block128,6692
block102,block129,4636
block102,block13,10637
block102,block130,3920
block102,block131,4380
block102,block132,4892
block102,block133,5631
block102,block134,4785
block102,block135,9442
block102,block14,13150
block102,block15,12866
block102,block16,12122
block102,block17,11624
block102,block18,7977
block102,block19,9438
block102,block2,12953
block102,block20,9024
block102,block21,11174
block102,block22,10561
block102,block23,7679
block102,block24,8625
block102,block25,8083
block102,block26,7144
block102,block27,7333
block102,block28,7803
block102,block29,7710
block102,block3,12640
block102,block30,7213
block102,block31,7153
block102,block32,6552
block102,block33,6815
block102,block34,6225
block102,block35,5869
block102,block36,5500
block102,block37,6024
block102,block38,6394
block102,block39,5639
block102,block4,11851
block102,block40,5257
block102,block41,5550
block102,block42,7249
block102,block43,6577
block102,block44,6055
block102,block45,7166
block102,block46,6489
block102,block47,6452
block102,block48,5636
block102,block49,5085
block102,block5,11059
block102,block50,4957
block102,block51,4325
block102,block52,4948
block102,block53,4251
block102,block54,4772
block102,block55,6464
block102,block56,5578
block102,block57,5446
block102,block58,6244
block102,block59,5875
block102,block6,12133
block102,block60,10202
block102,block61,8545
block102,block62,10071
block102,block63,9868
block102,block64,8793
block102,block65,7762
block102,block66,7690
block102,block67,8280
block102,block68,7076
block102,block69,6943
block102,block7,11378
block102,block70,5340
block102,block71,6441
block102,block72,5948
block102,block73,4645
block102,block74,5161
block102,block75,6072
block102,block76,5423
block102,block77,6457
block102,block78,6592
block102,block79,7193
block102,block8,12913
block102,block80,3824
block102,block81,5735
block102,block82,5139
block102,block83,4850
block102,block84,4518
block102,block85,5973
block102,block86,7197
block102,block87,5818
block102,block88,6264
block102,block89,2183
block102,block9,12375
block102,block90,3745
block102,block91,2714
block102,block92,2858
block102,block93,1668
block102,block94,4182
block102,block95,3682
block102,block96,4095
block102,block97,2821
block102,block98,3291
block102,block99,1405
block102,C1,9704
block102,C10,3019
block102,C11,4880
block102,C12,13610
block102,C13,6235
block102,C14,4975
block102,C15,3903
block102,C16,4824
block102,C17,4672
block102,C18,3817
block102,C19,6409
block102,C2,2715
block102,C20,12611
block102,C21,6668
block102,C22,10938
block102,C23,5344
block102,C24,3664
block102,C25,6098
block102,C26,4844
block102,C27,5802
block102,C28,4712
block102,C29,11355
block102,C3,11256
block102,C30,7281
block102,C31,9415
block102,C32,10451
block102,C33,7072
block102,C34,11618
block102,C35,13584
block102,C36,5832
block102,C37,4262
block102,C38,2494
block102,C39,2711
block102,C4,2604
block102,C40,3017
block102,C41,7825
block102,C42,3776
block102,C43,7515
block102,C44,10563
block102,C45,8186
block102,C46,2506
block102,C47,2322
block102,C48,823
block102,C49,7984
block102,C5,5848
block102,C50,3275
block102,C51,5630
block102,C52,2973
block102,C53,4200
block102,C54,4707
block102,C6,6933
block102,C7,3927
block102,C8,2697
block102,C9,12470
block103,block1,17060
block103,block10,15448
block103,block100,3138
block103,block101,2746
block103,block102,3390
block103,block103,0
block103,block104,654
block103,block105,3037
block103,block106,2116
block103,block107,2362
block103,block108,1513
block103,block109,1561
block103,block11,15031
block103,block110,9351
block103,block111,8621
block103,block112,8550
block103,block113,8693
block103,block114,9868
block103,block115,9461
block103,block116,8569
block103,block117,7678
block103,block118,6390
block103,block119,9170
block103,block12,14491
block103,block120,5168
block103,block121,2737
block103,block122,3728
block103,block123,2993
block103,block124,3003
block103,block125,3341
block103,block126,15185
block103,block127,12927
block103,block128,9433
block103,block129,3795
block103,block13,14073
block103,block130,4122
block103,block131,3853
block103,block132,4050
block103,block133,4790
block103,block134,9188
block103,block135,12878
block103,block14,16586
block103,block15,16302
block103,block16,15559
block103,block17,15060
block103,block18,13254
block103,block19,12874
block103,block2,16389
block103,block20,12461
block103,block21,14610
block103,block22,13998
block103,block23,12486
block103,block24,13435
block103,block25,12894
block103,block26,11533
block103,block27,12567
block103,block28,12963
block103,block29,12521
block103,block3,16076
block103,block30,12023
block103,block31,9644
block103,block32,11362
block103,block33,11625
block103,block34,11036
block103,block35,10680
block103,block36,10798
block103,block37,10414
block103,block38,10783
block103,block39,10028
block103,block4,15287
block103,block40,10316
block103,block41,8041
block103,block42,9741
block103,block43,9068
block103,block44,8546
block103,block45,9658
block103,block46,8981
block103,block47,9330
block103,block48,8258
block103,block49,7577
block103,block5,14495
block103,block50,9359
block103,block51,8853
block103,block52,7440
block103,block53,6743
block103,block54,7394
block103,block55,9205
block103,block56,8320
block103,block57,8187
block103,block58,8986
block103,block59,8616
block103,block6,15569
block103,block60,13638
block103,block61,11981
block103,block62,12805
block103,block63,12602
block103,block64,9516
block103,block65,8485
block103,block66,8413
block103,block67,11716
block103,block68,10512
block103,block69,7666
block103,block7,14814
block103,block70,8888
block103,block71,7164
block103,block72,6671
block103,block73,8193
block103,block74,5885
block103,block75,6796
block103,block76,6146
block103,block77,7181
block103,block78,7315
block103,block79,7916
block103,block8,16349
block103,block80,7289
block103,block81,8531
block103,block82,5863
block103,block83,5573
block103,block84,5241
block103,block85,6696
block103,block86,7390
block103,block87,6542
block103,block88,6388
block103,block89,4630
block103,block9,15811
block103,block90,6236
block103,block91,5660
block103,block92,6189
block103,block93,4824
block103,block94,4906
block103,block95,4405
block103,block96,4818
block103,block97,3544
block103,block98,4008
block103,block99,4524
block103,C1,13140
block103,C10,5202
block103,C11,7622
block103,C12,17046
block103,C13,8977
block103,C14,9364
block103,C15,8307
block103,C16,7446
block103,C17,8221
block103,C18,1104
block103,C19,10798
block103,C2,5338
block103,C20,16047
block103,C21,11479
block103,C22,14374
block103,C23,4503
block103,C24,4387
block103,C25,6821
block103,C26,5568
block103,C27,8294
block103,C28,5436
block103,C29,14791
block103,C3,14692
block103,C30,8004
block103,C31,12851
block103,C32,13185
block103,C33,11883
block103,C34,15054
block103,C35,17021
block103,C36,8323
block103,C37,3424
block103,C38,6098
block103,C39,906
block103,C4,5095
block103,C40,6450
block103,C41,13190
block103,C42,8179
block103,C43,10007
block103,C44,13999
block103,C45,8909
block103,C46,2942
block103,C47,2574
block103,C48,3131
block103,C49,8707
block103,C5,8471
block103,C50,5376
block103,C51,8372
block103,C52,5465
block103,C53,8601
block103,C54,3083
block103,C6,9675
block103,C7,8705
block103,C8,6301
block103,C9,15906
block104,block1,16911
block104,block10,15298
block104,block100,2854
block104,block101,2462
block104,block102,3106
block104,block103,722
block104,block104,0
block104,block105,2442
block104,block106,1521
block104,block107,2213
block104,block108,1461
block104,block109,1158
block104,block11,14882
block104,block110,9202
block104,block111,8472
block104,block112,8401
block104,block113,8544
block104,block114,9719
block104,block115,9312
block104,block116,8420
block104,block117,7529
block104,block118,6240
block104,block119,9021
block104,block12,14342
block104,block120,5019
block104,block121,2588
block104,block122,3579
block104,block123,2844
block104,block124,2854
block104,block125,3192
block104,block126,15036
block104,block127,12778
block104,block128,9284
block104,block129,3646
block104,block13,13924
block104,block130,3973
block104,block131,3704
block104,block132,3901
block104,block133,4641
block104,block134,9039
block104,block135,12729
block104,block14,16437
block104,block15,16153
block104,block16,15410
block104,block17,14911
block104,block18,13105
block104,block19,12725
block104,block2,16240
block104,block20,12312
block104,block21,14461
block104,block22,13849
block104,block23,12337
block104,block24,13286
block104,block25,12745
block104,block26,11384
block104,block27,12418
block104,block28,12814
block104,block29,12372
block104,block3,15927
block104,block30,11874
block104,block31,9495
block104,block32,11213
block104,block33,11476
block104,block34,10887
block104,block35,10531
block104,block36,10649
block104,block37,10264
block104,block38,10634
block104,block39,9879
block104,block4,15138
block104,block40,10166
block104,block41,7892
block104,block42,9592
block104,block43,8919
block104,block44,8397
block104,block45,9508
block104,block46,8832
block104,block47,9181
block104,block48,8109
block104,block49,7428
block104,block5,14346
block104,block50,9210
block104,block51,8704
block104,block52,7291
block104,block53,6594
block104,block54,7245
block104,block55,9056
block104,block56,8171
block104,block57,8038
block104,block58,8837
block104,block59,8467
block104,block6,15420
block104,block60,13489
block104,block61,11832
block104,block62,10510
block104,block63,10307
block104,block64,9232
block104,block65,8201
block104,block66,8129
block104,block67,11567
block104,block68,10363
block104,block69,7382
block104,block7,14665
block104,block70,8739
block104,block71,6880
block104,block72,6387
block104,block73,8044
block104,block74,5600
block104,block75,6511
block104,block76,5862
block104,block77,6896
block104,block78,7031
block104,block79,7632
block104,block8,16200
block104,block80,7140
block104,block81,6174
block104,block82,5578
block104,block83,5289
block104,block84,4957
block104,block85,6412
block104,block86,7105
block104,block87,6257
block104,block88,6104
block104,block89,4481
block104,block9,15662
block104,block90,6087
block104,block91,5511
block104,block92,6040
block104,block93,4540
block104,block94,4621
block104,block95,4121
block104,block96,4534
block104,block97,3260
block104,block98,3724
block104,block99,4375
block104,C1,12991
block104,C10,5053
block104,C11,7473
block104,C12,16897
block104,C13,8828
block104,C14,9215
block104,C15,8158
block104,C16,7297
block104,C17,8072
block104,C18,702
block104,C19,10649
block104,C2,5188
block104,C20,15898
block104,C21,11330
block104,C22,14225
block104,C23,4354
block104,C24,4103
block104,C25,6537
block104,C26,5283
block104,C27,8145
block104,C28,5151
block104,C29,14642
block104,C3,14543
block104,C30,7720
block104,C31,12702
block104,C32,10890
block104,C33,11734
block104,C34,14905
block104,C35,16872
block104,C36,8174
block104,C37,3274
block104,C38,5949
block104,C39,622
block104,C4,4946
block104,C40,6301
block104,C41,13041
block104,C42,8030
block104,C43,9858
block104,C44,13850
block104,C45,8625
block104,C46,2792
block104,C47,2425
block104,C48,2847
block104,C49,8423
block104,C5,8322
block104,C50,5092
block104,C51,8223
block104,C52,5316
block104,C53,8452
block104,C54,2488
block104,C6,9526
block104,C7,8556
block104,C8,6152
block104,C9,15757
block105,block1,18775
block105,block10,17163
block105,block100,4410
block105,block101,4018
block105,block102,4662
block105,block103,3037
block105,block104,2442
block105,block105,0
block105,block106,1032
block105,block107,4077
block105,block108,3325
block105,block109,3022
block105,block11,16746
block105,block110,11066
block105,block111,10336
block105,block112,10265
block105,block113,12085
block105,block114,11652
block105,block115,11245
block105,block116,10353
block105,block117,9393
block105,block118,8105
block105,block119,10954
block105,block12,16206
block105,block120,6883
block105,block121,4452
block105,block122,5443
block105,block123,4708
block105,block124,4718
block105,block125,5056
block105,block126,16900
block105,block127,14642
block105,block128,11148
block105,block129,5510
block105,block13,15788
block105,block130,5837
block105,block131,5568
block105,block132,5765
block105,block133,6505
block105,block134,10903
block105,block135,14593
block105,block14,18301
block105,block15,18017
block105,block16,17274
block105,block17,16775
block105,block18,14969
block105,block19,14589
block105,block2,18104
block105,block20,14176
block105,block21,16325
block105,block22,15713
block105,block23,14201
block105,block24,15150
block105,block25,14609
block105,block26,13248
block105,block27,14282
block105,block28,14678
block105,block29,14236
block105,block3,17791
block105,block30,13738
block105,block31,11359
block105,block32,13077
block105,block33,13340
block105,block34,12751
block105,block35,12395
block105,block36,12513
block105,block37,12129
block105,block38,12498
block105,block39,11743
block105,block4,17002
block105,block40,12031
block105,block41,9756
block105,block42,11456
block105,block43,10783
block105,block44,10261
block105,block45,11373
block105,block46,10696
block105,block47,11045
block105,block48,9973
block105,block49,9292
block105,block5,16210
block105,block50,11074
block105,block51,10568
block105,block52,9155
block105,block53,8458
block105,block54,9109
block105,block55,10920
block105,block56,10035
block105,block57,9902
block105,block58,10701
block105,block59,10331
block105,block6,17284
block105,block60,15353
block105,block61,13696
block105,block62,12066
block105,block63,11863
block105,block64,10788
block105,block65,9757
block105,block66,9685
block105,block67,13431
block105,block68,12227
block105,block69,8938
block105,block7,16529
block105,block70,10603
block105,block71,8436
block105,block72,7943
block105,block73,9908
block105,block74,7156
block105,block75,8067
block105,block76,7418
block105,block77,8452
block105,block78,8587
block105,block79,9188
block105,block8,18064
block105,block80,9005
block105,block81,7730
block105,block82,7134
block105,block83,6845
block105,block84,6513
block105,block85,7968
block105,block86,8277
block105,block87,7813
block105,block88,7344
block105,block89,6345
block105,block9,17526
block105,block90,7951
block105,block91,7375
block105,block92,7288
block105,block93,6096
block105,block94,6177
block105,block95,5677
block105,block96,6090
block105,block97,3870
block105,block98,4587
block105,block99,5835
block105,C1,14855
block105,C10,6917
block105,C11,10920
block105,C12,18761
block105,C13,10692
block105,C14,11079
block105,C15,10022
block105,C16,9161
block105,C17,10005
block105,C18,2566
block105,C19,12513
block105,C2,7053
block105,C20,17762
block105,C21,13194
block105,C22,16089
block105,C23,6218
block105,C24,5659
block105,C25,8093
block105,C26,6839
block105,C27,10009
block105,C28,6707
block105,C29,16506
block105,C3,16407
block105,C30,9276
block105,C31,14566
block105,C32,12446
block105,C33,13598
block105,C34,16769
block105,C35,18736
block105,C36,10038
block105,C37,5139
block105,C38,6924
block105,C39,2366
block105,C4,6811
block105,C40,8165
block105,C41,14905
block105,C42,9894
block105,C43,11722
block105,C44,15714
block105,C45,10181
block105,C46,4657
block105,C47,4289
block105,C48,4403
block105,C49,9064
block105,C5,10186
block105,C50,6648
block105,C51,10087
block105,C52,7180
block105,C53,10385
block105,C54,46
block105,C6,11390
block105,C7,10489
block105,C8,7127
block105,C9,17621
block106,block1,17854
block106,block10,16241
block106,block100,3489
block106,block101,3096
block106,block102,3741
block106,block103,2116
block106,block104,1521
block106,block105,1032
block106,block106,0
block106,block107,3156
block106,block108,2404
block106,block109,2101
block106,block11,15825
block106,block110,10145
block106,block111,9415
block106,block112,9344
block106,block113,11163
block106,block114,10730
block106,block115,10324
block106,block116,9432
block106,block117,8472
block106,block118,7183
block106,block119,10033
block106,block12,15285
block106,block120,5962
block106,block121,3531
block106,block122,4522
block106,block123,3787
block106,block124,3797
block106,block125,4135
block106,block126,15979
block106,block127,13721
block106,block128,10227
block106,block129,4589
block106,block13,14867
block106,block130,4916
block106,block131,4647
block106,block132,4844
block106,block133,5584
block106,block134,9982
block106,block135,13672
block106,block14,17380
block106,block15,17096
block106,block16,16353
block106,block17,15854
